"","Issue","State","ZIP_code","Count","Latitude","Longitude"
"302","Loan servicing，payments，escrow account","WI",53402,4,42.7855,-87.7875
"303","Loan servicing，payments，escrow account","WI",53401,1,42.7268,-87.7828
"304","Loan servicing，payments，escrow account","WI",53233,1,43.0397,-87.934
"305","Loan servicing，payments，escrow account","WI",53228,1,42.9675,-88.0435
"306","Loan servicing，payments，escrow account","WI",53227,3,42.9905,-88.0429
"307","Loan servicing，payments，escrow account","WI",53226,6,43.0457,-88.0427
"308","Loan servicing，payments，escrow account","WI",53225,5,43.1126,-88.0408
"309","Loan servicing，payments，escrow account","WI",53224,9,43.1632,-88.0386
"310","Loan servicing，payments，escrow account","WI",53223,8,43.1632,-87.989
"311","Loan servicing，payments，escrow account","WI",53222,7,43.0854,-88.0368
"312","Loan servicing，payments，escrow account","WI",53221,3,42.9493,-87.9417
"313","Loan servicing，payments，escrow account","WI",53220,4,42.9676,-87.9931
"314","Loan servicing，payments，escrow account","WI",53219,6,42.9891,-87.9927
"315","Loan servicing，payments，escrow account","WI",53218,20,43.1122,-87.9915
"316","Loan servicing，payments，escrow account","WI",53217,6,43.1503,-87.9105
"317","Loan servicing，payments，escrow account","WI",53216,9,43.088,-87.9768
"318","Loan servicing，payments，escrow account","WI",53215,4,43.0032,-87.9425
"319","Loan servicing，payments，escrow account","WI",53214,6,43.0227,-88.0165
"320","Loan servicing，payments，escrow account","WI",53212,3,43.0712,-87.907
"321","Loan servicing，payments，escrow account","WI",53211,6,43.0829,-87.8816
"322","Loan servicing，payments，escrow account","WI",53210,6,43.0644,-87.9677
"323","Loan servicing，payments，escrow account","WI",53209,29,43.1418,-87.9452
"324","Loan servicing，payments，escrow account","WI",53208,3,43.0441,-87.9676
"325","Loan servicing，payments，escrow account","WI",53207,7,42.9743,-87.9029
"326","Loan servicing，payments，escrow account","WI",53206,6,43.0684,-87.9339
"327","Loan servicing，payments，escrow account","WI",53205,2,43.0545,-87.934
"328","Loan servicing，payments，escrow account","WI",53204,2,43.0192,-87.9261
"329","Loan servicing，payments，escrow account","WI",53203,5,43.0408,-87.9163
"330","Loan servicing，payments，escrow account","WI",53202,3,43.0442,-87.9029
"331","Loan servicing，payments，escrow account","WI",53201,1,43.0346,-87.9151
"332","Loan servicing，payments，escrow account","WI",53191,2,42.581,-88.5504
"333","Loan servicing，payments，escrow account","WI",53190,1,42.8087,-88.7096
"334","Loan servicing，payments，escrow account","WI",53189,2,42.9494,-88.2687
"335","Loan servicing，payments，escrow account","WI",53188,7,43.0254,-88.2929
"336","Loan servicing，payments，escrow account","WI",53186,4,43.0313,-88.1938
"337","Loan servicing，payments，escrow account","WI",53185,5,42.785,-88.1908
"338","Loan servicing，payments，escrow account","WI",53183,1,43.0024,-88.3795
"339","Loan servicing，payments，escrow account","WI",53182,1,42.7113,-88.0322
"340","Loan servicing，payments，escrow account","WI",53181,3,42.5207,-88.2383
"341","Loan servicing，payments，escrow account","WI",53179,1,42.5185,-88.1379
